,station,address,avg_fast,avg_slow,lat,lng,newAddress,volume
181,관악구 종합체육센타,"서울특별시 관악구 낙성대로3길 37 (봉천동, 관악구민종합체육센터)",66.21690109890102,0.0,37.482950598,126.92242741,"신도교회, 남부순환로, 신원동, 관악구, 서울, 08771, 대한민국",6346710
182,대방중간집하장 공영주차장,"서울특별시 동작구 노량진로 47 (대방동, 대방차고쓰레기처리시설)",1.6719780219780223,0.0,37.513748188152,126.9307340460,"현대자동차 대방동사옥, 53, 노량진로, 대방동, 서울, 06901, 대한민국",226631
183,리첸시아방배,서울특별시 서초구 방배동 755-14,0.0,8.986483516483519,37.4972769868,126.9857331315,"댓짱돈까스, 사평대로, 방배동, 서초구, 서울, 06551, 대한민국",1079770
184,서초네이처힐7단지,서울특별시 서초구 우면동 735,0.0,18.661373626373624,37.4610734048,127.0211322702,"강남순환로, 양재1동, 서초구, 서울, 06768, 대한민국",943330
185,서초네이처힐6단지,서울특별시 서초구 우면동 737,12.611450549450552,22.639494505494515,37.4611517998,127.0256490145,"603, 태봉로2길, 양재1동, 서초구, 서울, 06764, 대한민국",60183
186,서초지사,서울특별시 서초구 효령로 72길 60,36.151725274725344,1.3038021978021987,37.48560466,127.028077,"한전아트센타, 서운로3길, 서초동, 서초구, 서울, 06732, 대한민국",0
187,서초포레스타5단지,서울특별시 서초구 신원동 374,3.953956043956044,13.295443223443224,37.4511428681,127.0576833777,"502, 청계산로9길, 내곡동, 서초구, 서울, 06794, 대한민국",0
188,래미안서초스위트 아파트,서울특별시 서초구 서초동 1301-6,2.565252747252747,18.24813186813189,37.5020983625,127.0198681406,"101, 사평대로, 래미안서초스위트아파트, 서초동, 서초구, 서울, 06608, 대한민국",1079770
189,반포리체 아파트,서울특별시 서초구 반포동 30-26,20.080483516483515,32.18318681318668,37.5044672196,127.0124541711,"106, 사평대로, 반포동, 서초구, 서울, 06544, 대한민국",1079770
190,예술의 전당,서울특별시 서초구 서초동 산 130-19,89.73228571428558,0.0,37.478856,127.011318,"예술의 전당, 2406, 남부순환로, 서초동, 서초구, 서울, 06757, 대한민국",6346710
191,방배롯데캐슬아르떼,서울특별시 null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null,0.0,13.029494505494526,37.48342824587,126.9837639178,"105, 방배천로20길, 방배2동, 서초구, 서울, 06677, 대한민국",0
192,서초롯데캐슬프레지던트,서울특별시 서초구 서초동 1681-8,0.0,10.981692307692303,37.496973514,127.019418966,"102동, 서초대로65길, 서초동, 서초구, 서울, 06603, 대한민국",248820
193,현대멤피스(A),서울특별시 서초구 방배동 774-19,0.0,11.835395604395604,37.49464638455,126.9888727756,"103, 동광로19길, 삼호1차아파트, 방배동, 서초구, 서울, 06557, 대한민국",63073
194,서초경남아너스빌201동,서울특별시 서초구 서초동 1456-2,0.0,6.796285714285717,37.4838195485,127.0141783796,"남부순환로323길, 서초경남 아너스빌, 서초동, 서초구, 서울, 06717, 대한민국",6346710
195,현대멤피스(B),서울특별시 서초구 방배동 772-13,0.0,5.58874725274725,37.49521397652,126.9884316700,"105동, 방배로, 삼호1차아파트, 방배동, 서초구, 서울, 06556, 대한민국",149244
196,방배동부센트레빌 아파트,서울특별시 서초구 방배동 3275,0.0,15.284538461538473,37.4973457271,126.9881169632,"103, 방배로, 방배동, 서초구, 서울, 06556, 대한민국",149244
197,서초힐스 아파트,서울특별시 서초구 우면동 773,12.637934065934056,24.26617582417583,37.4576068928,127.0175687231,"208, 중앙로, 양재1동, 서초구, 서울, 06767, 대한민국",455563
