,station,address,avg_fast,avg_slow,lat,lng
138,신정뉴타운두산위브아파트,서울특별시 양천구 신월로20길 7,6.2368131868131895,0.0,37.5129548999,126.827074251
139,신월해주 아파트,서울특별시 양천구 신월동 217-8,0.0,1.6511978021978015,37.5270574059,126.8346395361
140,서울남부출입국 외국인사무소,"서울특별시 강서구 마곡서1로 48 (마곡동, 서울남부출입국관리사무소)",34.484043956043934,0.0,37.561156350419,126.8211838432
141,마곡 이웰메디파크,서울특별시 강서구 마곡중앙4로 74 (마곡동),9.435538461538458,0.0,37.557883163419,126.834883242
142,강서수도사업소,서울특별시 양천구 목동동로 155 (신정동),10.22789010989011,0.0,37.495803083699,126.8906226905
143,등마루 공영주차장,"서울특별시 양천구 목동중앙북로8다길 지하 4 (목동, 목3동 등마루 공영주차장)",45.95316483516481,0.0,37.545968011794,126.865487897
144,한국방송광고진흥공사,"서울특별시 양천구 목동동로 233 (목동, 한국방송회관)",5.993010989010988,0.0,37.527003957169,126.8713198837
145,신정동일하이빌아파트2단지,"서울특별시 양천구 신정로11길 20 (신정동, 동일하이빌아파트)",0.0,23.728241758241758,37.51191722058,126.8387340678
146,한국공항공사 고객전용주차장,"서울특별시 강서구 하늘길 78 (과해동, 한국공항공사)",0.08923076923076922,0.0,37.561810793,126.79866127
147,강서경찰서 민원인주차장,"서울특별시 강서구 화곡로 308 (화곡동, 서울강서경찰서)",47.36604395604396,0.0,37.551278229,126.85001114
148,양천구청 지하주차장,"서울특별시 양천구 목동동로 105 (신정동, 양천구청)",6.86225274725275,0.0,37.517105,126.866302
149,은천2단지 아파트,서울특별시 관악구 봉천동 인헌12길 46-1,32.48254945054943,19.422417582417573,37.4706639492,126.9645625253
150,관악동작 견인차량 보관소,서울특별시 관악구 신사로 7,174.87334065934138,0.0,37.4846968754,126.904065304
151,이수힐스테이트,서울특별시 동작구 동작동 동작대로39길 22,20.671648351648358,40.717362637362655,37.49463472,126.9819657575
152,서울대입구아이원,서울특별시 관악구 봉천동 청룡길 78,5.381846153846152,24.16701098901099,37.4783116175,126.945375416
153,대우신림2차푸르지오,서울특별시 관악구 신림동 난곡로 66,21.84771428571428,0.0,37.4610661511,126.9198746198
154,상도대림 아파트,서울특별시 동작구 상도동 상도로60길 20,0.0,5.359824175824175,37.4931852401,126.9532620463
155,보라매삼성 아파트,서울특별시 관악구 봉천동 보라매로 62,9.102065934065934,12.117252747252747,37.4933922804,126.9278189979
156,상도파크자이,서울특별시 동작구 상도동 장승배기로 11,16.36705494505494,28.037802197802208,37.4995058611,126.9431253448
157,관악동작지사,서울특별시 동작구 동작대로 19,88.14404395604409,1.5623912087912077,37.47830829,126.9809567
158,흑석한강센트레빌,서울특별시 동작구 흑석동 흑석한강로 2,13.160813186813192,11.895091575091577,37.5051797465,126.9645145496
159,신림서초 아파트,서울특별시 관악구 신림동 호암로16길 5,0.0,5.299043956043958,37.4640220022,126.9322465795
160,대방성원 아파트,서울특별시 동작구 대방동 여의대방로44길 9,5.453824175824176,11.714615384615385,37.509731742,126.9259166877
161,관악벽산블루밍,서울특별시 관악구 봉천동 은천로 93,35.516879120879146,0.0,37.4872820001,126.945246769
162,숲속마을신동아파밀리에,서울특별시 동작구 신대방동 여의대방로10길 100,0.0,5.40142857142857,37.4915778003,126.9145364705
163,신대방현대 아파트,서울특별시 동작구 신대방동 여의대방로 28,9.662813186813187,15.448219780219784,37.4952734403,126.911691628
164,동작상떼빌 아파트,서울특별시 동작구 신대방동 신대방1가길 38,17.98481318681319,12.91545787545786,37.487899553,126.906937744
165,신림쌍용 아파트,서울특별시 관악구 신림동 미성길 122,4.747032967032968,16.152527472527485,37.472827882,126.9121747586
166,사당롯데캐슬샤인,서울특별시 동작구 사당동 사당로27길 190,7.649428571428573,26.55670329670329,37.4909601775,126.9715998344
167,봉천건영6차아파트,서울특별시 관악구 봉천동 1701,0.0,14.359340659340658,37.4771034996,126.9519063577
168,신동아 아파트,서울특별시 관악구 신림동 신림로 11길 151,0.0,0.6285714285714287,37.46433097545,126.940475311
169,신림 주공2단지,서울특별시 관악구 신림동 광신길 86,0.0,22.523692307692343,37.46425,126.92662
170,관악동부센트레빌 아파트,서울특별시 관악구 봉천동 은천로33길 5,14.706857142857144,28.22571428571427,37.4872985885,126.9501540148
171,대우유로카운티,서울특별시 동작구 상도동 양녕로 287,0.0,7.401098901098904,37.5054012556,126.9493141059
