,stat_id,node_id,distance,link
113,KP000719,1210005400.0,0.1867644343610684,"[1210018003, 1210018103, 1210019200, 1210019300, 1210019800, 1210019900, 1210021400, 1210021500, 1210050400, 1210050500]"
114,KP000720,1210024300.0,0.1072098565807927,"[1210015801, 1210015802, 1210015901, 1210015902, 1210044000, 1210044100, 1210047300, 1210047400]"
115,KP000721,1210011802.0,0.0656928464874217,"[1210037603, 1210037704, 1210165500, 1210165600]"
116,KP000722,1210080000.0,0.1147267175221443,"[1210035102, 1210035001, 1210035002, 1210035101, 1210167500, 1210167600]"
117,KP000723,1210011100.0,0.0677308934576046,"[1210007401, 1210007409, 1210007501, 1210007508, 1210035700, 1210036200]"
118,KP000724,1210029000.0,0.3264435209603558,"[1210019001, 1210019002, 1210019101, 1210019102, 1210051000, 1210051100]"
119,KP000725,1210033300.0,0.1220625924990918,"[1210023805, 1210023904, 1210053200, 1210053300, 1210054000, 1210054100]"
120,KP000726,1210008306.0,0.1135938647259375,"[1210032307, 1210032308, 1210032407, 1210032408, 1210166700, 1210166800, 1210167100, 1210167200]"
121,KP000727,1210080100.0,0.1373541292074602,"[1210167700, 1210167800]"
122,KP000729,1160041100.0,0.0686894324329194,"[1160016503, 1160016504, 1160016603, 1160077501, 1160077602, 1160016605]"
123,KP000730,1160117800.0,0.1453205295553251,"[1160270800, 1160270900]"
124,KP000731,1180036300.0,0.0445038425856412,"[1180079301, 1180079402, 1180081000, 1180081100, 1180081900, 1180082000]"
125,KP000732,1180017600.0,0.0888572417422942,"[1180048200, 1180048300, 1180049600, 1180049700]"
126,KP000733,1160050100.0,0.05895292731683,"[1160012803, 1160013704, 1160055900, 1160056000, 1160013705, 1160013801]"
127,KP000735,1160012900.0,0.0454574534118571,"[1160007904, 1160007905, 1160008004, 1160008005, 1160031500, 1160031600]"
128,KP000736,1220003902.0,0.0395418456829674,"[1220010006, 1220010007, 1220010106, 1220010107, 1220334900, 1220335000]"
129,KP000737,1220156600.0,0.1304080231119785,"[1220327500, 1220327600]"
130,KP000738,1220020600.0,0.0485723466272125,"[1220011502, 1220011503, 1220051700]"
131,KP000739,1220030500.0,0.1027781332240195,"[1220062001, 1220062102, 1220062500, 1220062600, 1220060701, 1220060802, 1220061300, 1220061400]"
132,KP000740,1220031302.0,0.1609280588570943,"[1220024204, 1220024205, 1220024304, 1220024305, 1220333100, 1220333200]"
133,KP000741,1220045700.0,0.1177887185784171,"[1220084700, 1220084800, 1220085100, 1220087901, 1220110300, 1220110500]"
134,KP000742,1220016900.0,0.0674491028400042,"[1220010802, 1220010804, 1220010902, 1220010905, 1220046202, 1220046301, 1220047200, 1220047300]"
135,KP000743,1220021200.0,0.0601002367313552,"[1220050500, 1220050600, 1220050900, 1220051000, 1220053400, 1220053500]"
136,KP000785,1060007800.0,0.0503694927920626,"[1060022600, 1060022700, 1060007701, 1060007702, 1060007802, 1060007803]"
137,KP000786,1060029400.0,0.1860610542232394,"[1060048401, 1060048502, 1060049800, 1060049900, 1060050200, 1060050300, 1060050600, 1060050700]"
138,KP000787,1050037100.0,0.0643714626992514,"[1050054300, 1050054400]"
139,KP000788,1050017400.0,0.0703401922475643,"[1050037400, 1050037500, 1050039600, 1050039700, 1050038300, 1050038400]"
140,KP000789,1060017400.0,0.2089285557239621,"[1060033000, 1060033100]"
141,KP000790,1060018600.0,0.0270547623343708,"[1060015501, 1060015502, 1060015601, 1060015602, 1060036000, 1060036100]"
142,KP000791,1030021101.0,0.2114970452401888,"[1030012701, 1030012702, 1030012801, 1030012802, 1030062800, 1030062900]"
143,KP000792,1030021300.0,0.0309052577700575,"[1030037200, 1030037300, 1030037500, 1030037600, 1030038900, 1030039000]"
144,KP000793,1030002300.0,0.0635988599998186,"[1030006502, 1030006600, 1030007901, 1030008001, 1030008301, 1030050700, 1030050800]"
145,KP000794,1040014600.0,0.0283639090846486,"[1040026200, 1040026300, 1040028900, 1040028300, 1040028400, 1040028800]"
146,KP000796,1100022100.0,0.0473186818207748,"[1100012102, 1100012202, 1100051800, 1100051900, 1100052400, 1100052500]"
147,KP000797,1100004600.0,0.1203054146323688,"[1100010300, 1100010400, 1100010500, 1100010601, 1100011700, 1100011800]"
148,KP000798,1100004600.0,0.0631933859768634,"[1100010300, 1100010400, 1100010500, 1100010601, 1100011700, 1100011800]"
149,KP000799,1090019600.0,0.1485876070438083,"[1090037400, 1090037500, 1090037600, 1090037700, 1090037800, 1090037900]"
150,KP000800,1100008100.0,0.1595384826216684,"[1100024300, 1100024400, 1100025100, 1100025200, 1100063600, 1100063700]"
151,KP000801,1090011300.0,0.0647793311727717,"[1090008103, 1090008104, 1090008203, 1090008204, 1090024100, 1090024200]"
152,KP000803,1090020600.0,0.1010634412903683,"[1090013102, 1090013103, 1090013202, 1090013203, 1090041000, 1090041100]"
153,KP000804,1100084200.0,0.0971615136661051,"[1100168100, 1100168200]"
154,KP000805,1100038400.0,0.134215592392998,"[1100029301, 1100029302, 1100029401, 1100029402, 1100066600, 1100066700, 1100071300, 1100071400]"
155,KP000806,1090004900.0,0.1837056195388927,"[1090000702, 1090000703, 1090000802, 1090000803, 1090014100, 1090014200]"
156,KP000807,1100085501.0,0.0758307153288344,"[1100173901, 1100174001, 1100174101, 1100174201, 1100174301, 1100174401]"
157,KP000808,1120002800.0,0.1675984746730925,"[1120008503, 1120008603, 1120008700, 1120008800, 1120053100, 1120053200]"
158,KP000809,1120028100.0,0.0707192235486813,"[1120056700, 1120056800]"
159,KP000810,1120017500.0,0.5042358359594513,"[1120010504, 1120010505, 1120029900, 1120030000, 1120010604, 1120010605]"
160,KP000814,1020010500.0,0.0957810327046176,"[1020003101, 1020003201, 1020003904, 1020004004, 1020028300, 1020028400, 1020053100, 1020053200]"
161,KP000815,1130055800.0,0.0763492969542696,"[1130081600, 1130081700]"
162,KP000816,1020007901.0,0.0804159705233236,"[1020002505, 1020002506, 1020002605, 1020002606, 1020054300, 1020054400]"
163,KP000817,1130010900.0,0.0513804472191584,"[1130008501, 1130008601, 1130008700, 1130008800, 1130089000, 1130089100]"
164,KP000818,1130010700.0,0.0723072120668361,"[1130032900, 1130033000, 1130033500, 1130033600, 1130033900, 1130034000, 1130034500, 1130034600]"
165,KP000820,1020013201.0,0.0606538019476422,"[1020005901, 1020005903, 1020006002, 1020006004, 1020052700, 1020052800]"
166,KP000821,1020027300.0,0.105146248921034,"[1020042100, 1020042200, 1020013102, 1020013103, 1020013203, 1020013204]"
167,KP000822,1020026801.0,0.0544112542880678,"[1020044301, 1020044302, 1020044401, 1020044402, 1020055500, 1020055600]"
168,KP000823,1020040100.0,0.1765183609521814,"[1020052900, 1020053000]"
169,KP000824,1020026800.0,0.0377427721794836,"[1020013205, 1020044301, 1020044402, 1020013103, 1020013104, 1020013204]"
170,KP000825,1130010100.0,0.0572777402761062,"[1130031400, 1130031500, 1130032800, 1130033300, 1130033400, 1130031700, 1130031800, 1130032700]"
171,KP000826,1000014200.0,0.0704280582340837,"[1000028100, 1000028200, 1000030700, 1000030800, 1000031200, 1000031300]"
172,KP000827,1000030300.0,0.1612413269809023,"[1000043500, 1000043600, 1000043700, 1000043800, 1000044300, 1000044400]"
173,KP000829,1000025400.0,0.1219943048997898,"[1000019100, 1000019200, 1000040200, 1000040400]"
174,KP000830,1000023500.0,0.0527079907650977,"[1070073200, 1070073300, 1000016701, 1000016801]"
175,KP000831,1070039700.0,0.0673762394250785,"[1070021501, 1070021502, 1070021601, 1070021602, 1070068500, 1070068600, 1080034400, 1080034500]"
176,KP000832,1070017600.0,0.0384459787023008,"[1070009503, 1070010702, 1070010802, 1070010901, 1070011001, 1070009603, 1070012102, 1070012201]"
177,KP000833,1070042400.0,0.0418605027727601,"[1070071800, 1070071900]"
178,KP000834,1080019700.0,0.1013619513438594,"[1080033800, 1080033900, 1080034800, 1080034900]"
179,KP000835,1070015200.0,0.1603431041755683,"[1070010901, 1070010902, 1070011001, 1070011002, 1070037600, 1070037700]"
180,KP000836,1070012600.0,0.0794703478461606,"[1070028800, 1070028900, 1070029200, 1070029300, 1070031801, 1070031902]"
181,KP000925,1240026801.0,0.0667628366176718,"[1240227201, 1240227301, 1240051601, 1240051602, 1240051701, 1240051702]"
182,KP000926,1230034800.0,0.1062646247704678,"[1230069100, 1230069200, 1230020101, 1230020102, 1230020202, 1230020203]"
183,KP000927,1230014000.0,0.0703328113298604,"[1230044600, 1230044700, 1230044800, 1230044900, 1230043400, 1230043500]"
184,KP000928,1140005400.0,0.0940919311812647,"[1140015200, 1140016300, 1140016400, 1140017800, 1140040300, 1140040400]"
185,KP000929,1150047500.0,0.1749516587271996,"[1150003902, 1150003903, 1150004002, 1150004003, 1150089800, 1150089900, 1150097700, 1150097800]"
186,KP000930,1140109601.0,0.1639862559370852,"[1140281101, 1140281901, 1140281301]"
187,KP000931,1200026500.0,0.066900167463943,"[1190013600, 1190013700, 1200044000, 1200044100, 1200044400, 1200044500, 1200045200, 1200045300]"
188,KP000932,1190029401.0,0.0900521954601546,"[1190051101, 1190051001]"
189,KP000933,1200030200.0,0.1130453745881264,"[1200051000, 1200051100, 1200051200, 1200051300, 1200051400, 1200051500]"
190,KP000934,1190026700.0,0.1087352090272425,"[1190046000, 1190046100]"
191,KP000935,1200004402.0,0.094777143301463,"[1200016001, 1200016002, 1200016101, 1200016102, 1200051800, 1200051900]"
192,KP000936,1200007700.0,0.1860798649308105,"[1200022000, 1200022100, 1200022600, 1200022700]"
193,KP000937,1210051300.0,0.132575813332151,"[1210021604, 1210021605, 1210021705, 1210021707, 1210066500]"
194,KP000938,1210023300.0,0.0692569353889351,"[1210045700, 1210045800, 1210046100, 1210044200, 1210044300, 1210046200]"
195,KP000939,1160024500.0,0.0687921152754534,"[1160011703, 1160011704, 1160011803, 1160011804, 1160047500, 1160047600, 1160050900, 1160051000]"
196,KP000940,1180031900.0,0.0418367385166759,"[1180019601, 1180019602, 1180019701, 1180019702, 1180072000, 1180072100, 1180075700, 1180075800]"
197,KP000941,1160033000.0,0.0453834529393456,"[1160013004, 1160013005, 1160061800]"
198,KP000942,1180020300.0,0.122078777250751,"[1180013002, 1180013102, 1180058000, 1180058100, 1180013001, 1180013101]"
199,KP000943,1160116800.0,0.1212559926563801,"[1160267000, 1160267100, 1160271800, 1160271900, 1160272000, 1160272100]"
200,KP000944,1220063204.0,0.0579441759455847,"[1220306308, 1220306310, 1220306407, 1220306409, 1220325300, 1220325400]"
201,KP000945,1220006500.0,0.0618315188369499,"[1220017800, 1220017900, 1220019603, 1220019703, 1220020402, 1220018702, 1220018602, 1220020502]"
202,KP000946,1220032300.0,0.0396550500557128,"[1220024801, 1220024802, 1220024901, 1220024902, 1220063500, 1220063600]"
203,KP000947,1220028700.0,0.1184052769924727,"[1220020903, 1220020802, 1220020803, 1220020902, 1220060702, 1220060801]"
204,KP000948,1220153100.0,0.0520560399863661,"[1220333900, 1220334000, 1220334100, 1220334200, 1220334300, 1220334400]"
205,KP000949,1220044501.0,0.0412800575643595,"[1220087001, 1220087002, 1220087101, 1220087102, 1220321900, 1220322000]"
206,KP000951,1220049500.0,0.288825031064099,"[1220004002, 1220004102, 1220004201, 1220004304, 1220033202, 1220033302, 1220033800, 1220033900]"
207,KP000952,1220053700.0,0.0803121817845877,"[1220004502, 1220005503, 1220097600]"
208,KP000953,1220064000.0,0.2249020462657714,"[1220004304, 1220004305, 1220098100]"
209,KP000954,1220023200.0,0.1579013972467255,"[1220011002, 1220011102, 1220014000, 1220014100, 1220053400, 1220053500, 1220053900, 1220054000]"
210,KP000955,1220021200.0,0.0682700708808111,"[1220050500, 1220050600, 1220050900, 1220051000, 1220053400, 1220053500]"
211,KP000978,1060009000.0,0.0451093016947835,"[1060008302, 1060008100, 1060008200, 1060008401, 1060008701, 1060008801, 1060007705, 1060007806]"
212,KP000979,1060006800.0,0.0692899948963205,"[1060022100, 1060022200, 1060000101, 1060000102, 1060000201, 1060000202]"
213,KP000980,1060017500.0,0.1192876587924951,"[1060032600, 1060032700, 1060034100, 1060035800, 1060035900, 1060034000]"
214,KP000983,1040006800.0,0.0814228223782066,"[1040018900, 1040019600, 1040040000]"
215,KP000984,1100016100.0,0.0554189770442643,"[1100008701, 1100008702, 1100008801, 1100008802, 1100041500, 1100041600]"
