,stat_id,station,address,lat,lng,household,num_cars,num_rest,traffic,avg_fast,avg_slow,nearby_neighbor
367,KP003998,구의삼성쉐르빌아파트,"서울특별시 광진구 구의강변로 106 (구의동, 구의동삼성쉐르빌)",37.53995404115,127.0948846975,167949,613,135,12268.0,0.0,5.425059340659338,23
368,KP000015,광진성동지사,서울특별시 성동구 마장로27길 13,37.5677096,127.0340572,134233,1457,246,4126.0,37.33947252747251,1.6287095761381456,14
369,KP004151,구의삼성쉐르빌상가,"서울특별시 광진구 구의강변로 106 (구의동, 구의동삼성쉐르빌)",37.53993849,127.09460746,167949,613,189,12268.0,11.014732600732613,0.0,23
370,KP000983,광진하우스토리한강,서울특별시 광진구 자양동 구의강변로1길 44,37.5298962269,127.0896253336,167949,613,32,19325.0,0.0,7.4261758241758224,5
371,KP004150,서울숲M타워,"서울특별시 성동구 뚝섬로1길 31 (성수동1가, 서울숲 M타워)",37.54413883,127.04657228,134233,1457,573,108962.0,6.737670329670328,0.0,27
372,KP000794,자양금강KCC 아파트,서울특별시 광진구 자양동 아차산로36길 13,37.5377887568,127.0743961902,167949,613,196,5290.0,0.0,0.7445274725274724,10
373,KP001850,성수2차대우 아파트,서울특별시 성동구 성수동1가 상원6길 16,37.5485305999,127.0502533792,134233,1457,374,14429.0,0.0,6.957802197802197,30
374,KP001352,자양10차현대홈타운,서울특별시 광진구 자양동 뚝섬로34길 25-19,37.5332249064,127.0704498677,167949,613,193,5540.0,0.0,6.317472527472526,23
375,KP004794,서울숲SK V1 타워,"서울특별시 성동구 성수일로8길 5 (성수동2가, 서울숲 SK V1 TOWER)",37.547062692,127.05171442,134233,1457,495,14429.0,2.2407765567765554,0.0,32
376,KP004810,금호스포츠센터,서울특별시 성동구 금호로 20 (금호동4가),37.5457446,127.025191,134233,1457,64,8054.0,2.542505494505494,0.0,8
377,KP004801,뚝섬유수지 공영주차장,서울특별시 성동구 성수동1가 685-63번지,37.5506,127.0414,134233,1457,362,22953.0,0.0429930069930069,0.0,7
378,KP002622,창동3차현대아파트,서울특별시 도봉구 창동 도봉로 428,37.6439518323,127.032405944,138656,642,292,3939.0,0.0,9.40417582417582,21
379,KP000805,중계주공4단지 아파트,서울특별시 노원구 중계동 덕릉로76길 29,37.6558211017,127.0761139547,217378,893,68,11624.0,114.11397802197816,31.62088644688649,14
380,KP002070,홈플러스 방학점,서울특별시 도봉구 도봉로 678,37.66484567094,127.0434429338,138656,642,202,53080.0,66.27503296703297,0.0,20
381,KP001359,중계경남롯데상아 아파트,"서울특별시 노원구 섬밭로 265 (중계동, 경남,롯데,상아아파트)",37.6382850366,127.0627131993,217378,893,175,19764.0,36.38843956043957,0.0,4
382,KP002540,노원구청,서울특별시 노원구 상계동 701-1,37.6541634298,127.056661504,217378,893,482,10912.0,160.68720879120926,0.0,7
383,SF001914,서울과학기술대학교,서울특별시 노원구 공릉로 232,37.633078927,127.07679474,217378,893,14,21557.0,14.086542124542143,0.0,2
384,KP000999,창동주공19단지,서울특별시 도봉구 창동 노해로 403,37.6535130097,127.0525768845,138656,642,45,13233.0,99.45760439560432,39.66796703296704,11
385,KP000211,도봉구민회관,"서울특별시 도봉구 도봉로 552 (창동, 도봉구민회관)",37.654167091,127.0386839448,138656,642,257,19919.0,140.63670329670347,0.0,10
386,KP003067,삼육대학교,서울특별시 노원구 화랑로 815,37.6431189444,127.1065078432,217378,893,0,21557.0,19.84604505494506,0.0,0
387,KP000998,창동쌍용 아파트,서울특별시 도봉구 창동 마들로 551,37.6594614287,127.0480342373,138656,642,20,43466.0,25.390879120879102,0.0,17
388,KP003131,창동주공18단지아파트,"서울특별시 도봉구 노해로70길 126 (창동, 주공18단지아파트)",37.64652,127.0527,138656,642,8,42444.0,83.05956043956049,0.0,2
389,KP002380,창동2차현대아파트,서울특별시 도봉구 창동 도봉로136길 111,37.6616424656,127.0463809608,138656,642,29,16557.0,6.767230769230768,12.020000000000016,25
390,KP003130,창동대우아파트,"서울특별시 도봉구 덕릉로63가길 43 (창동, 창동대우아파트)",37.642224,127.037342,138656,642,168,3939.0,61.22696703296703,0.0,18
391,KP002967,상계주공16단지아파트,"서울특별시 노원구 동일로227길 86 (상계동, 상계주공16단지아파트)",37.66878331559,127.0537251878,217378,893,94,53080.0,30.598527472527465,37.98307692307694,7
