,stat_id,household,num_cars,num_rest,traffic,nearby_neighbor,avg_fast
378,KP003849,63519,964,831,13181.0,17,36.776560439560335
379,KP000829,73494,606,634,4744.0,4,2.4994285714285724
380,KP001013,73494,606,60,3155.0,15,2.9307692307692297
381,KP002947,63519,964,586,17144.0,40,2.2685787545787552
382,KP000830,73494,606,30,10040.0,25,10.843780219780218
383,KP001012,73494,606,482,16459.0,8,2.220395604395604
384,KP003993,63519,964,55,21383.0,3,28.41893040293036
385,SF002322,63519,964,1087,21347.0,23,3.2443223443223457
386,KP005058,63519,964,519,23015.0,11,2.1933076923076924
387,KP005059,63519,964,61,576.0,15,2.043956043956044
388,KP005167,73494,606,1138,18543.0,19,7.226703296703297
389,KP005057,63519,964,264,12081.0,12,4.377362637362639
390,KP001019,195017,915,41,26764.0,17,14.411604395604394
391,KP002289,195017,915,18,51994.0,19,29.824461538461527
392,KP000214,195017,915,320,13875.0,4,65.19373626373634
393,KP001018,195017,915,4,25009.0,17,13.255549450549454
394,KP000833,195017,915,303,7935.0,28,0.8950109890109886
395,KP001374,195017,915,112,3155.0,17,7.576659340659339
396,KP000835,195017,915,153,3796.0,36,11.389846153846149
397,KP000213,195017,915,150,11893.0,1,46.87827472527474
398,KP003353,195017,915,104,15094.0,5,1.244087912087912
399,KP001016,144536,504,352,23269.0,11,1.232879120879121
400,KP002382,195017,915,558,4744.0,10,2.141846153846154
401,KP002288,195017,915,82,3796.0,29,3.992659340659341
402,KP000831,195017,915,68,5698.0,12,4.30068131868132
403,KP003069,195017,915,53,24018.0,1,30.365241758241776
404,KP000597,195017,915,91,10890.0,21,10.00654945054945
405,KP000834,144536,504,513,5698.0,8,8.870923076923079
406,KP002667,195017,915,10,45990.0,12,5.618153846153848
407,KP002761,195017,915,271,3779.0,30,1.0275164835164836
408,KP002383,144536,504,72,16583.0,10,6.215142857142855
409,KP000832,195017,915,167,14785.0,36,6.014131868131871
410,KP000836,195017,915,452,3796.0,28,0.9910989010989012
411,KP002910,195017,915,191,12032.0,18,8.158593406593404
412,KP002724,195017,915,108,14785.0,31,1.6654065934065936
413,KP004143,144536,504,5,5698.0,6,25.28529670329672
414,KP004808,195017,915,231,7935.0,14,4.037873626373629
415,KP003815,144536,504,202,6838.0,5,2.993406593406593
416,KP000011,63519,964,674,16785.0,10,41.78057142857148
