,stat_id,household,num_cars,num_rest,traffic,nearby_neighbor,avg_slow
330,KP000810,143647,668,18,34763.0,9,1.5022417582417582
331,KP000194,179861,1076,40,2377.0,1,10.444750915750916
332,KP002287,179861,1076,173,45605.0,25,13.413774725274736
333,KP000816,111036,968,38,92173.0,5,44.19558241758244
334,KP002381,179861,1076,128,14098.0,9,21.08472527472528
335,KP000817,179861,1076,129,45605.0,23,6.781692307692308
336,KP000818,179861,1076,721,40390.0,35,9.348087912087912
337,KP003600,111036,968,160,11931.0,26,6.333305494505496
338,KP000814,111036,968,117,24324.0,10,13.23539926739928
339,KP002285,179861,1076,157,6031.0,22,13.95731318681317
340,KP000821,111036,968,301,11931.0,32,16.036912087912068
341,KP004000,111036,968,178,11931.0,26,6.854931868131878
342,KP000591,111036,968,179,10381.0,6,15.84786813186813
343,KP002284,179861,1076,173,45605.0,25,11.784300366300371
344,KP000822,111036,968,335,11931.0,27,3.7794615384615375
345,KP001369,179861,1076,1261,1739.0,7,14.680439560439526
346,KP001367,111036,968,294,11931.0,28,18.87846153846155
347,KP002862,179861,1076,79,40643.0,9,9.478351648351644
348,KP002859,179861,1076,220,45605.0,25,10.974395604395614
349,KP000120,111036,968,494,5723.0,22,15.393584415584444
350,KP001364,179861,1076,593,45605.0,30,15.553076923076931
351,KP000823,111036,968,73,38922.0,17,25.20506227106229
352,KP002286,179861,1076,173,45605.0,25,15.031091575091578
353,NT100084,111036,968,419,11931.0,24,11.149560439560435
354,SF002074,179861,1076,482,45605.0,35,10.983736263736256
355,KP001859,179861,1076,650,95820.0,23,21.88285714285718
356,KP004001,179861,1076,887,1739.0,7,10.929367032967042
357,KP000013,179861,1076,718,40390.0,33,2.164760439560438
358,KP000593,111036,968,495,5723.0,21,6.343362637362637
359,KP003274,179861,1076,988,1739.0,9,12.540124542124545
360,KP003286,179861,1076,114,7803.0,19,34.3055164835165
361,KP001372,111036,968,122,96174.0,17,28.760659340659352
362,KP001003,179861,1076,763,32324.0,27,10.020483516483518
363,KP000815,179861,1076,210,90949.0,13,10.160263736263742
364,KP001365,179861,1076,599,45605.0,28,17.260659340659345
365,KP001006,111036,968,39,41287.0,9,10.154010989010986
366,KP000825,179861,1076,526,95820.0,22,18.753824175824167
367,KP001860,179861,1076,147,90949.0,14,16.744468864468864
368,KP001005,111036,968,323,11931.0,28,5.966626373626377
369,KP002871,179861,1076,157,45605.0,23,5.45347252747253
370,KP001368,179861,1076,547,95820.0,25,4.613186813186813
371,KP001370,179861,1076,149,45605.0,20,6.822637362637362
372,KP000824,111036,968,280,11931.0,31,0.0646153846153846
373,KP001371,111036,968,422,32013.0,5,0.2075824175824176
374,KP001858,179861,1076,841,5911.0,10,7.908131868131868
375,KP004790,179861,1076,363,92422.0,5,0.7037142857142856
376,KP001007,73494,606,801,25023.0,18,29.20073992673991
377,KP000014,63519,964,1023,17144.0,24,0.9368043956043952
378,KP001009,63519,964,545,20902.0,15,5.034659340659346
379,KP001373,73494,606,98,32849.0,14,14.455457875457896
380,KP000827,73494,606,7,16442.0,0,15.06068131868131
381,KP000596,63519,964,534,13181.0,15,13.326219780219777
382,KP001015,73494,606,593,4223.0,5,17.725010989010975
383,KP003005,63519,964,303,13472.0,13,9.938252747252749
384,KP000595,63519,964,39,12418.0,4,11.249190476190464
385,KP000829,73494,606,634,4744.0,4,5.5868791208791215
386,KP001013,73494,606,60,3155.0,15,8.934373626373635
387,KP001008,63519,964,559,23015.0,7,7.403538461538468
388,KP001011,73494,606,89,32849.0,14,9.366758241758234
389,KP001012,73494,606,482,16459.0,8,8.66953846153846
390,KP001014,73494,606,233,10040.0,13,0.0841648351648351
391,KP001010,73494,606,381,16459.0,9,inf
392,KP000826,73494,606,792,0.0,19,12.54589010989012
393,KP005167,73494,606,1138,18543.0,19,4.151890109890112
394,KP001019,195017,915,41,26764.0,17,26.454813186813176
395,KP002289,195017,915,18,51994.0,19,15.38969230769234
396,KP000214,195017,915,320,13875.0,4,29.69252747252748
397,KP003602,195017,915,227,7935.0,26,2.5289120879120883
398,KP000833,195017,915,303,7935.0,28,9.264076923076924
399,KP003999,195017,915,45,15691.0,6,9.361167032967035
400,KP001374,195017,915,112,3155.0,17,14.431868131868136
401,KP000835,195017,915,153,3796.0,36,13.811516483516472
402,KP003353,195017,915,104,15094.0,5,7.240959706959708
403,KP003134,195017,915,61,3155.0,13,8.263230769230775
404,KP001016,144536,504,352,23269.0,11,15.985780219780215
405,KP002382,195017,915,558,4744.0,10,6.743186813186812
406,KP002288,195017,915,82,3796.0,29,12.01542857142857
407,KP000831,195017,915,68,5698.0,12,16.909780219780217
408,KP000597,195017,915,91,10890.0,21,3.584802197802198
409,KP000834,144536,504,513,5698.0,8,7.365703296703303
410,KP002667,195017,915,10,45990.0,12,9.994615384615384
411,KP003500,144536,504,251,23269.0,4,1.1802668759811614
412,KP002880,144536,504,573,23758.0,9,5.394901098901102
413,KP000832,195017,915,167,14785.0,36,0.0003076923076923
414,KP003019,144536,504,46,5698.0,6,6.956923076923078
415,KP001017,195017,915,197,13875.0,17,5.9598461538461525
416,KP000011,63519,964,674,16785.0,10,3.5375054945054942
